city,state,shape,city_latitude,city_longitude,duration_sec,year,month,day
Ypsilanti,MI,other,42.23633504273512,-83.60297037036992,600.0,2005,12,Night
Smithshire,IL,other,40.7492,-90.7713,60.0,2005,12,Night
Brighton,MI,unknown,42.547663583814895,-83.77078901734086,,2005,12,Night
Lenexa,KS,other,38.95079716535408,-94.7537916535438,,2005,12,Day
Elgin,IA,light,42.9297,-91.6231,240.0,2016,12,Night
Schaumburg,IL,teardrop,42.05010904159101,-88.09256772151855,,2018,12,Night
East Moline,IL,light,41.521199999999965,-90.3858,900.0,2017,12,Night
Bellevue,NE,oval,41.13068108108101,-95.92197162162137,180.0,2019,12,Night
White Lake,MI,light,42.656907999999966,-83.49281919999991,,2019,12,Night
Belleville,KS,sphere,39.8351,-97.6222,30.0,2019,12,Night
Ellettsville,IN,sphere,39.27219999999992,-86.6197000000001,22.5,2019,12,Day
Milo,IA,formation,41.2767,-93.4356,,2019,12,Night
Three rivers,MI,circle,41.97609999999998,-85.64750000000002,750.0,2019,12,Night
Blue Springs,MO,triangle,39.01482293577977,-94.28685825688048,10800.0,2019,12,Night
Wichita,KS,unknown,37.69639784853686,-97.32954010326988,300.0,2019,12,Night
Revere,MO,light,,,,2019,12,Night
Indianapolis,IN,circle,39.80764884834021,-86.14221402931446,10800.0,2019,12,Night
Chicago,IL,circle,41.87991241592284,-87.66801795521151,,2019,12,Day
Hays,KS,light,38.900099999999945,-99.34699999999992,,2019,12,Night
Grain valley,MO,light,38.992700000000006,-94.21509999999992,300.0,2019,12,Night
Troy Grove,IL,light,41.4678,-89.0831,1200.0,2019,12,Night
Fairfield,IA,light,41.02479000000002,-91.93163749999992,300.0,2019,12,Night
Rockford,IL,light,42.27738134206219,-89.04477790507339,600.0,2019,12,Night
Branson,MO,light,36.6649333333334,-93.2537522522522,2700.0,2019,12,Night
Huntsville,MO,light,39.4767,-92.5697,2100.0,2019,12,Night
Lisle,IL,sphere,41.78700000000006,-88.08330000000014,480.0,2019,12,Night
Herscher,IL,light,41.0428,-88.0676,1050.0,2019,12,Night
Elkhorn,WI,light,42.71300000000003,-88.54290000000005,900.0,2019,12,Night
Huntley,IL,light,42.17590000000008,-88.46080000000002,300.0,2019,12,Night
Kansasville,WI,light,42.6903,-88.1256,900.0,2019,12,Night
Huntley,IL,light,42.17590000000008,-88.46080000000002,300.0,2019,12,Night
Aurora,IL,light,41.76135531100495,-88.3152893779896,420.0,2019,12,Night
Morrison,IL,light,41.822800000000015,-89.961,180.0,2019,12,Night
Sedalia,MO,circle,38.70291441441453,-93.23672342342344,,2019,12,Night
Gladwin,MI,unknown,44.0747,-84.4347,900.0,2019,12,Night
Lafayette,IN,formation,40.397356672158175,-86.86183146622693,,2019,12,Night
Defiance,OH,light,41.360599999999984,-84.37010000000006,1800.0,2019,12,Night
Elkhart,IN,light,41.68416940509911,-85.96900084985825,,2019,12,Night
Howell,MI,formation,42.60518613445365,-83.90061092436983,600.0,2019,12,Night
Zeeland Holland area,MI,other,,,,2019,12,Night
Clinton,MI,formation,42.08069999999999,-83.95869999999998,,2019,12,Night
Schoolcraft,MI,cylinder,42.133100000000006,-85.68509999999998,600.0,2019,12,Night
Sturgis,MI,light,41.84290000000006,-85.44750000000013,600.0,2019,12,Night
Vicksburg,MI,formation,42.10950000000002,-85.4734,300.0,2019,12,Night
Middlebury,IN,other,41.6753,-85.70610000000005,180.0,2019,12,Night
Chesterfield,MI,light,,,390.0,2019,12,Night
Independence Township,MI,light,,,240.0,2019,12,Night
Rochester,IN,formation,41.0409,-86.2717,300.0,2019,12,Night
Rochester,IN,formation,41.0409,-86.2717,300.0,2019,12,Night
Monticello,IN,changing,40.773500000000006,-86.71540000000003,,2019,12,Night
Eagle,MI,rectangle,42.8426,-84.7593,,2019,12,Night
Clarkston,MI,circle,42.73986514285709,-83.41715028571444,300.0,2019,12,Night
Indianapolis,IN,unknown,39.80764884834021,-86.14221402931446,15.0,2006,12,Night
Michigan,MI,light,,,450.0,2006,12,Night
Lawrence,KS,formation,39.000100273972826,-95.25458794520512,5.0,2003,12,Night
Bethel,OH,triangle,38.9312,-84.10629999999998,300.0,2004,12,Night
Lake Station,IN,changing,41.57269999999996,-87.26810000000003,300.0,2004,12,Night
Circleville,OH,other,39.59290000000005,-82.89120000000001,,2006,12,Night
Kansas City,MO,triangle,39.10083513976063,-94.5644792926404,,2006,12,Night
Manito,IL,formation,40.4365,-89.81830000000001,300.0,2007,12,Night
Mount Pleasant,MI,triangle,43.60592137404584,-84.80228625954189,120.0,2007,12,Night
Olathe,KS,light,38.86859124423975,-94.83400184331838,900.0,2007,12,Night
Olathe,KS,light,38.86859124423975,-94.83400184331838,3.0,2007,12,Night
Olathe,KS,light,38.86859124423975,-94.83400184331838,10800.0,2007,12,Night
Zimmerman,MN,unknown,45.45080000000002,-93.58550000000004,1200.0,2007,12,Night
Benzie County,MI,triangle,,,,2007,12,Night
Iron River,MI,unknown,46.171000000000014,-88.73710000000003,1800.0,2007,12,Night
Ypsilanti,MI,cone,42.23633504273512,-83.60297037036992,,2006,12,Night
South St. Paul,MN,light,,,12600.0,2006,12,Night
Cincinnati,OH,cylinder,39.17450311744183,-84.48136299381915,,2007,12,Night
Columbia,MO,fireball,38.91147669172911,-92.3024296240595,2.0,2006,12,Night
Buffalo,MN,rectangle,45.1845,-93.83970000000006,,2006,12,Night
Ashville,OH,circle,39.722,-82.9215,2.0,2007,12,Night
Iowa City,IA,light,41.65003088235298,-91.50399441176437,3.5,2006,12,Night
Canton,OH,flash,40.84330718954251,-81.408000217865,,2006,12,Night
