city,state,shape,city_latitude,city_longitude,duration_sec,year,month,day
Philadelphia,PA,disk,39.99063505273983,-75.1458012136986,120.0,2004,12,Night
South Shirley,NY,other,,,300.0,2014,12,Night
Delran,NJ,light,,,1.0,2018,12,Night
White Oak,MD,formation,,,300.0,2019,12,Night
Waldorf,MD,oval,38.61199692832765,-76.90655119453906,300.0,2019,12,Night
Coventry,RI,oval,41.69329999999994,-71.63950000000014,120.0,2019,12,Night
Cranston,RI,fireball,41.77119238578687,-71.46207461928938,,2019,12,Night
Exeter,PA,other,,,2400.0,2019,12,Night
Girard,PA,triangle,41.9703,-80.3125,8.0,2019,12,Night
Plymouth Meeting,PA,triangle,40.11580000000003,-75.28420000000004,2400.0,2019,12,Night
Lynbrook,NY,circle,40.657799999999966,-73.67199999999997,3600.0,2019,12,Night
Hewlett,NY,circle,40.63640000000001,-73.69390000000003,18000.0,2019,12,Night
Burlington,VT,light,44.47554791666679,-73.21075000000022,2.0,2019,12,Night
Gloucester City,NJ,formation,39.891800000000025,-75.1163,,2019,12,Night
Fishkill,NY,disk,41.52770000000002,-73.90720000000006,60.0,2019,12,Night
Bethlehem,PA,unknown,40.63503864168628,-75.37143231850112,3600.0,2019,12,Night
Kennett Square,PA,triangle,39.84679999999992,-75.71159999999986,,2019,12,Night
Mayville,NY,teardrop,42.24009999999999,-79.5131,60.0,2007,12,Day
Mayville,NY,teardrop,42.24009999999999,-79.5131,85.0,2007,12,Day
Lower Burrell,PA,light,,,2.5,2007,12,Night
Ware,MA,circle,42.29909999999997,-72.27569999999999,10800.0,2007,12,Night
West Warwick,RI,circle,41.69700000000009,-71.52540000000018,60.0,2007,12,Night
Edinboro,PA,disk,41.93593636363641,-80.1450818181818,5.5,2007,12,Night
Farmington,ME,diamond,44.65359999999999,-70.11490000000002,,2007,12,Day
Warren,PA,light,41.80614000000001,-79.22037249999997,60.0,2007,12,Night
Jamaica,NY,oval,40.69090623441382,-73.79636733167084,600.0,2007,12,Night
Greenville,NH,changing,42.75189999999999,-71.7615,300.0,2007,12,Night
Albany,NY,cigar,42.66599931506877,-73.77961926369782,,2007,12,Night
Worcester,VT,sphere,44.3971,-72.5725,,2007,12,Night
Taunton,MA,unknown,41.911299999999926,-71.12999999999971,,2007,12,Night
Stony Point,NY,disk,41.25440000000002,-74.04030000000007,10.0,2007,12,Day
Anneville,PA,light,,,1800.0,2007,12,Day
Palmyra,PA,other,40.29230000000003,-76.59090000000008,300.0,2007,12,Night
Enola,PA,unknown,40.29179999999998,-77.00219999999993,3600.0,2007,12,Night
Harrisburg,PA,light,40.30708258145362,-76.83058884711784,3.5,2007,12,Night
Hershey,PA,formation,40.26670000000001,-76.63810000000007,30.0,2007,12,Night
Manheim,PA,unknown,40.17669999999999,-76.42970000000005,7.5,2007,12,Night
Pittstown,NJ,oval,40.57139999999999,-74.97249999999998,1800.0,2006,12,Night
Harrisburg,PA,formation,40.30708258145362,-76.83058884711784,600.0,2007,12,Night
Cataumet,MA,unknown,41.6662,-70.6197,3600.0,2006,12,Day
Arcadia,NY,unknown,,,4.0,2006,12,Night
Port Allegany,PA,unknown,41.7889,-78.2586,900.0,2007,12,Night
Elmhurst,NY,triangle,40.753513973798896,-73.94924410480368,1800.0,2007,12,Night
Indiana,PA,formation,40.62226046511638,-79.14650077519384,7.5,2006,12,Night
Manheim,PA,light,40.17669999999999,-76.42970000000005,1200.0,2006,12,Night
Annville,PA,sphere,40.34429999999998,-76.55119999999992,20.0,2006,12,Night
Harrisburg,PA,other,40.30708258145362,-76.83058884711784,600.0,2007,12,Night
Newark,DE,unknown,39.651957793103456,-75.71214262069019,,2007,12,Night
Mayslanding,NJ,sphere,,,10.0,2007,12,Night
Breinigsville,PA,fireball,40.5489,-75.6658,5.0,2007,12,Night
Braintree,VT,disk,,,1800.0,2007,12,Night
Unadilla,NY,disk,42.3464,-75.3128,3600.0,2006,12,Night
Littleton,NH,unknown,44.33809999999997,-71.83050000000001,,2007,12,Night
Halifax,PA,oval,40.48000000000001,-76.79289999999997,10.0,2007,12,Night
Newark,DE,circle,39.651957793103456,-75.71214262069019,900.0,2007,12,Night
Hummelstown,PA,circle,40.30839999999992,-76.69539999999986,10.0,2007,12,Night
Baltimore,MD,unknown,39.31307269413025,-76.61182201968622,,2006,12,Night
Reading,PA,fireball,40.33998809831812,-75.94901358344096,,2006,12,Night
Valencia,PA,unknown,40.7079,-79.9379,120.0,2006,12,Night
Lancaster,PA,formation,40.03326710353886,-76.3030231979028,120.0,2006,12,Night
South of New Holland,PA,triangle,,,30.0,2006,12,Night
Pottstown,PA,sphere,40.246180851063976,-75.6281382978723,,2006,12,Night
Dunbar,PA,sphere,39.9377,-79.5944,60.0,2006,12,Night
Centerville,PA,cylinder,41.71840000000001,-79.7729,,2006,12,Night
Bear,DE,triangle,39.60249999999997,-75.69449999999978,120.0,2007,12,Night
Dingmans Ferry,PA,light,41.2171,-75.00860000000003,,2007,12,Night
Warrendale,PA,sphere,40.650400000000005,-80.09056000000001,7.0,2007,12,Night
Mount Pleasant,PA,triangle,40.14899999999999,-79.51810000000003,300.0,2007,12,Night
Union City,NJ,unknown,40.7795999999999,-74.0238000000002,,2006,12,Night
