city,state,shape,city_latitude,city_longitude,duration_sec,year,month,day
Chester,VA,light,37.343151515151526,-77.408581818182,5.0,2019,12,Night
Charleston,SC,unknown,32.8038872316379,-79.96885661016988,,2005,12,Night
Cumming,GA,light,34.17941111111121,-84.14029453860653,35.0,2012,12,Night
Mulberry,FL,cylinder,27.80200000000001,-81.98990000000002,,2018,12,Night
Port Orange,FL,sphere,29.11762222222222,-81.00494074074058,420.0,2017,12,Night
Tampa,FL,circle,28.00681435810791,-82.47646101351302,60.0,2019,12,Night
Comanche,TX,formation,31.88920000000001,-98.6385,,2019,12,Night
Dalton,GA,triangle,34.78065060240965,-84.93673734939762,150.0,2019,12,Night
Winston-Salem,NC,circle,36.09356861702117,-80.27833537234031,,2019,12,Night
Hammond,LA,disk,30.48724523809518,-90.4769291666664,600.0,2019,12,Night
Chattaroy,WV,formation,,,1200.0,2019,12,Day
Kingwood,TX,disk,30.0336,-95.261,300.0,2019,12,Day
Point Harbor,NC,cigar,36.0871,-75.8041,180.0,2019,12,Night
Hartselle,AL,light,34.443600000000046,-86.93690000000001,,2019,12,Night
Savannah,GA,cigar,32.02970094086019,-81.13525336021517,180.0,2019,12,Night
Dunnellon,FL,fireball,29.086815384615385,-82.4251435897436,600.0,2019,12,Night
Winston Salem,NC,diamond,,,,2019,12,Night
Bethlehem,GA,fireball,33.9297,-83.74470000000004,,2019,12,Night
Greensboro,NC,oval,36.076963026165934,-79.8158138794089,180.0,2019,12,Night
Evans Georgia,GA,cigar,,,180.0,2019,12,Night
New Port Richey,FL,light,28.24270049382709,-82.67723901234524,,2019,12,Night
Valdosta,GA,light,30.85822314814813,-83.30521064814809,,2019,12,Night
Greenville,SC,other,34.83721312741325,-82.33834929214929,120.0,2019,12,Day
Ponte Vedra Beach,FL,light,30.10861724137932,-81.35468965517224,300.0,2019,12,Day
Thomson,GA,triangle,33.49659999999997,-82.52860000000005,1800.0,2019,12,Night
Port Orange,FL,light,29.11762222222222,-81.00494074074058,,2019,12,Night
Dayton,TX,circle,30.045399999999976,-94.90580000000016,60.0,2019,12,Night
Nicholasville,KY,triangle,37.86494843750006,-84.56433750000006,300.0,2019,12,Day
Greenville,SC,circle,34.83721312741325,-82.33834929214929,900.0,2019,12,Day
,VA,light,,,390.0,2019,12,Night
Greenville,SC,sphere,34.83721312741325,-82.33834929214929,330.0,2019,12,Night
Carthage,NC,fireball,35.359300000000005,-79.4354,300.0,2019,12,Night
Mayflower,AR,sphere,34.9741,-92.4312,,2019,12,Night
Olive Branch,MS,disk,34.917999999999935,-89.82159999999979,,2003,12,Day
Fort Pierce,FL,triangle,,,,2004,12,Night
Rio Hondo,TX,circle,26.2615,-97.4872,,2004,12,Night
Sebring,FL,light,27.48583177570095,-81.46044672897182,60.0,2005,12,Night
Jefferson,GA,egg,34.09639999999995,-83.57399999999988,90.0,2005,12,Night
Tallahassee,FL,cigar,30.474393346379586,-84.25529034572872,600.0,2005,12,Night
Palatka,FL,oval,29.68212692307694,-81.68864230769226,10.0,2007,12,Night
Boynton Beach,FL,rectangle,26.524479610194827,-80.10637856072006,180.0,2007,12,Night
Warner Robins,GA,cigar,32.59603047619048,-83.63209333333337,420.0,2006,12,Day
Northeastern,TX,cone,,,,2006,12,Night
Columbus,GA,formation,32.50270233236155,-84.93712623906727,10.0,2007,12,Day
Columbus,GA,formation,32.50270233236155,-84.93712623906727,10.0,2007,12,Day
Austin,TX,triangle,30.308469443732346,-97.76011171494544,300.0,2005,12,Night
Lakeland,FL,circle,28.04722715328456,-81.95884978102269,,2007,12,Day
Alpharetta,GA,circle,34.08218459958972,-84.26424661190921,30.0,2007,12,Night
Corpus Christi,TX,light,27.71750016181213,-97.40525129449864,60.0,2007,12,Night
Metalton,AR,oval,,,,2007,12,Day
Metalton,AR,oval,,,60.0,2007,12,Day
Port Saint Lucie,FL,unknown,27.28568630136981,-80.36344363992168,2700.0,2007,12,Night
Jacksonville,FL,disk,30.266904680970416,-81.61637283365769,,2007,12,Night
Monroe,NC,other,35.060538853503154,-80.53092292993611,,2007,12,Night
San Antonio,TX,unknown,29.48886591714061,-98.47524044355946,3600.0,2007,12,Night
Tyler,TX,unknown,32.292818970189614,-95.29241327913266,600.0,2007,12,Day
Sylva,NC,triangle,35.36189999999999,-83.20780000000008,10.0,2007,12,Night
Longwood,FL,disk,28.71875294117648,-81.37619869281045,,2007,12,Night
Valley View,TX,diamond,33.486,-97.2053,60.0,2007,12,Night
Jacksonville,FL,teardrop,30.266904680970416,-81.61637283365769,,2007,12,Night
Robinson,TX,light,,,3600.0,2007,12,Night
Johnson City,TN,triangle,36.3237533442089,-82.35638939641112,240.0,2007,12,Night
Covington,GA,light,33.53250995475101,-83.90798959276009,1200.0,2007,12,Night
Columbus,GA,cigar,32.50270233236155,-84.93712623906727,150.0,2007,12,Night
Dallas,TX,light,32.835168077433146,-96.80811785917246,20.0,2007,12,Night
Gardendale,AL,other,33.70610000000004,-86.82380000000009,7200.0,2007,12,Night
Tallahassee,FL,light,30.474393346379586,-84.25529034572872,2700.0,2007,12,Night
Dothan,AL,light,31.20767767441865,-85.42901023255828,60.0,2007,12,Night
Smyrna,GA,other,33.86214054054068,-84.50484729729759,1200.0,2007,12,Night
Richmond,VA,other,37.55860753863546,-77.50798002261593,1200.0,2007,12,Night
Pittsboro,NC,cone,35.751899999999985,-79.22479999999997,2700.0,2007,12,Night
Fort Pierce,FL,cigar,,,2700.0,2007,12,Night
Virginia Beach,VA,fireball,36.83730134271098,-76.06194814577877,300.0,2007,12,Night
Lake Worth,FL,other,26.60020571428564,-80.12513920634922,300.0,2007,12,Night
Hixson,TN,other,35.17050000000008,-85.20950000000022,300.0,2007,12,Night
High Point,NC,other,35.974904029304035,-80.0163692307691,1500.0,2007,12,Night
Fort White,FL,cone,29.93970000000001,-82.70049999999998,1200.0,2007,12,Night
Lula,GA,unknown,34.4108,-83.64160000000001,900.0,2007,12,Night
Miami,FL,light,25.77414271350745,-80.28951850011364,2700.0,2007,12,Night
Carnesville,GA,light,34.35270000000001,-83.2983,3600.0,2007,12,Night
Miami,FL,cylinder,25.77414271350745,-80.28951850011364,2700.0,2007,12,Night
Tampa,FL,cylinder,28.00681435810791,-82.47646101351302,900.0,2007,12,Night
Tampa,FL,rectangle,28.00681435810791,-82.47646101351302,,2006,12,Night
Zephyrhills,FL,triangle,28.23611597444085,-82.27626613418565,,2006,12,Night
Tallahassee,FL,triangle,30.474393346379586,-84.25529034572872,150.0,2007,12,Night
Madison,AL,circle,34.71265882352931,-86.75229705882326,540.0,2007,12,Night
Madison,AL,disk,34.71265882352931,-86.75229705882326,300.0,2007,12,Night
Bell Buckle,TN,light,35.6269,-86.3958,,2007,12,Night
Cameron,WV,triangle,39.8433,-80.5571,300.0,2007,12,Night
Conway,SC,oval,33.89340405405407,-78.96144391891886,900.0,2007,12,Day
Griffithsville,WV,cylinder,38.2448,-82.0012,45.0,2006,12,Night
Monticello,KY,sphere,36.7921,-84.81030000000004,,2006,12,Night
Tallahassee,FL,triangle,30.474393346379586,-84.25529034572872,,2006,12,Day
Greensboro,NC,light,36.076963026165934,-79.8158138794089,60.0,2006,12,Night
Charlotte,NC,changing,35.205800840014845,-80.82639156166395,600.0,2007,12,Day
Marked Tree,AR,chevron,35.547,-90.44509999999998,30.0,2006,12,Night
Birmingham,AL,cylinder,33.48091579651916,-86.77946934404252,20.0,2007,12,Night
Mills River,NC,sphere,35.388400000000004,-82.56680000000003,37.5,2006,12,Night
Raleigh,NC,light,35.81800885085544,-78.64441853300764,180.0,2007,12,Night
Summerville,SC,light,33.031396402877775,-80.1881230215825,2.0,2007,12,Night
Delray Beach,FL,circle,26.45554743083016,-80.11589308300414,5.0,2007,12,Night
Destin,FL,triangle,30.39798354430373,-86.45729999999989,180.0,2007,12,Night
Chattanooga,TN,diamond,35.055137114427815,-85.27057024875567,600.0,2007,12,Night
Florence,SC,light,34.174190816326494,-79.73023826530604,45.0,2006,12,Night
Walls,MS,unknown,34.956900000000005,-90.1228,17.5,2006,12,Night
Dunn,NC,triangle,35.27674117647058,-78.54771323529417,600.0,2006,12,Night
Kingsland,GA,triangle,30.79850000000003,-81.72069999999995,900.0,2007,12,Night
Cary,NC,sphere,35.783761979166584,-78.80133489583346,12.5,2007,12,Night
Clifton Forge,VA,chevron,37.81939999999999,-79.73980000000003,300.0,2007,12,Night
Sterling,VA,unknown,39.012762935323465,-77.42228358209002,180.0,2007,12,Night
Snellville,GA,unknown,33.830933333333434,-84.02016666666687,10.0,2006,12,Day
Flovilla,GA,light,33.2344,-83.888,,2006,12,Night
Moss Bluff,LA,light,,,,2006,12,Night
Lake Wales,FL,sphere,27.87365806451616,-81.51855806451611,5.0,2007,12,Night
Independence,KY,light,38.92239999999995,-84.54709999999983,,2007,12,Night
Havana,FL,triangle,30.594600000000007,-84.39899999999996,900.0,2007,12,Night
Carrollton,KY,light,38.6606,-85.18949999999998,240.0,2007,12,Night
Lehigh Acres,FL,other,26.620117460317413,-81.64091587301577,10.0,2007,12,Night
Boca Raton,FL,light,26.368061827957263,-80.13787724014395,180.0,2006,12,Night
Fairfax County,VA,circle,,,600.0,2006,12,Night
El Paso,TX,fireball,31.79232818352071,-106.3748488764045,1800.0,2007,12,Night
St. Petersburg,FL,triangle,27.79451493256266,-82.67515963391195,5400.0,2007,12,Night
Portland,TX,light,27.89229999999998,-97.3186999999999,,2007,12,Night
Stafford,VA,unknown,38.44397520661165,-77.42208057851226,60.0,2006,12,Night
Elizabethtown,KY,light,37.71496718749989,-85.85654062499991,3.0,2006,12,Day
New Castle,VA,changing,37.5053,-80.2223,,2006,12,Day
Seminole,FL,fireball,27.84632195121951,-82.78800243902425,,2007,12,Night
Boca Raton,FL,triangle,26.368061827957263,-80.13787724014395,240.0,2005,12,Night
West Palm Beach,FL,unknown,26.70504529494388,-80.13514009831465,600.0,2007,12,Night
Houston,TX,flash,29.777493696652662,-95.4512204483613,,2007,12,Night
Altamonte Springs,FL,disk,28.66467850162859,-81.40282866449502,30.0,2006,12,Day
Knoxville,TN,unknown,35.96156134085192,-83.98011528822053,180.0,2006,12,Night
Decatur,GA,light,33.744850632911216,-84.26857784810052,30.0,2006,12,Night
Villa Rica,GA,unknown,33.71049999999998,-84.91119999999988,2700.0,2007,12,Night
Daniels,WV,light,37.72939999999999,-81.10629999999999,1800.0,2007,12,Night
Blairs,VA,circle,36.7182,-79.2986,5.0,2007,12,Night
Salem,VA,sphere,37.29064854368925,-80.09859126213573,3.0,2007,12,Night
Lesslie,SC,disk,,,5.0,2007,12,Night
Austin,TX,light,30.308469443732346,-97.76011171494544,,2006,12,Night
Fort Drum,FL,disk,,,150.0,2006,12,Night
Opp,AL,circle,31.29360000000001,-86.25950000000002,7200.0,2006,12,Night
Duluth,GA,fireball,33.99903628692001,-84.15485316455671,3.0,2006,12,Night
Groves,TX,other,29.94460000000001,-93.9175,120.0,2007,12,Night
Carrollton,TX,sphere,32.994355740181234,-96.8931658610276,120.0,2007,12,Night
Lutz,FL,triangle,28.153275609756104,-82.48028585365846,,2006,12,Night
Crosby,TX,other,29.923400000000008,-95.05779999999989,,2006,12,Night
Chester,VA,cone,37.343151515151526,-77.408581818182,,2007,12,Night
Moneta,VA,unknown,37.20209999999999,-79.62850000000002,3600.0,2007,12,Day
Windermere,FL,changing,28.48070000000004,-81.55180000000003,60.0,2007,12,Night
Clearwater,FL,light,27.962023177842628,-82.75161705539335,300.0,2006,12,Night
Apex,NC,triangle,35.71733365853661,-78.88086439024426,,2006,12,Night
Clarksville,TN,diamond,36.51515837104077,-87.36103416289579,300.0,2006,12,Night
Memphis,TN,unknown,35.12547266265736,-89.9269248223065,10.0,2007,12,Night
Pensacola,FL,light,30.462935377358694,-87.26545408805006,120.0,2007,12,Night
Cut Off,LA,circle,29.51670000000001,-90.30789999999998,180.0,2007,12,Night
Summerville,SC,light,33.031396402877775,-80.1881230215825,60.0,2006,12,Night
Owensboro,KY,light,37.76107061855678,-87.15569742268023,15.0,2007,12,Night
Jacksonville,FL,fireball,30.266904680970416,-81.61637283365769,12.5,2007,12,Night
Shelby,AL,circle,33.1104,-86.58409999999999,4800.0,2007,12,Night
Moneta,VA,other,37.20209999999999,-79.62850000000002,,2007,12,Night
Satellite Beach,FL,sphere,28.17370000000004,-80.59970000000003,18000.0,2007,12,Night
Bay City,TX,triangle,28.94117142857141,-95.79665102040816,750.0,2007,12,Night
Dora,AL,changing,33.72590000000001,-87.0471,,2007,12,Night
Monroe,GA,cigar,33.82505421686746,-83.69159518072293,60.0,2007,12,Night
Williston,FL,other,29.399200000000004,-82.44550000000001,2100.0,2007,12,Night
Winder,GA,cigar,33.98459999999989,-83.69779999999993,600.0,2007,12,Night
Baton,NC,other,,,,2007,12,Night
Lake CIty,FL,other,30.145284615384654,-82.63721730769232,2250.0,2007,12,Night
Westlake & Hardy,VA,diamond,,,900.0,2007,12,Night
Lakewood Ranch,FL,light,,,300.0,2007,12,Day
Plano,TX,sphere,33.048121504660216,-96.74114607190306,10.0,2007,12,Night
Charlottesville,VA,light,38.04475955882345,-78.53657691176473,1800.0,2007,12,Night
Panama City,FL,oval,30.207729949238427,-85.62376675126933,15.0,2006,12,Night
Orlando,FL,rectangle,28.51924669797446,-81.35409597886726,15.0,2006,12,Day
Raleigh,NC,changing,35.81800885085544,-78.64441853300764,10.0,2006,12,Day
Garland,TX,disk,32.90899691833597,-96.62589799691877,450.0,2007,12,Day
VA,SC,circle,,,600.0,2007,12,Night
Lafayette,LA,triangle,30.190793509127705,-92.04514239350922,4.5,2006,12,Night
Mocksville,NC,circle,35.89869999999999,-80.5740999999999,,2006,12,Night
Richmond,VA,unknown,37.55860753863546,-77.50798002261593,1.0,2006,12,Night
Flemingsburg,KY,diamond,38.4022,-83.7229,270.0,2006,12,Night
Homosassa,FL,sphere,28.75405161290322,-82.52686129032251,22.5,2004,12,Night
Headland,AL,unknown,31.3623,-85.3157,900.0,2004,12,Night
Englewood,FL,circle,26.958632653061173,-82.32509999999999,25.0,2007,12,Night
Brooksville,FL,disk,28.55954520547945,-82.43392876712333,600.0,2007,12,Night
Perry,GA,egg,32.43550000000003,-83.7267000000001,900.0,2006,12,Night
Carrollton,TX,triangle,32.994355740181234,-96.8931658610276,,2006,12,Night
Panama City Beach,FL,formation,30.289213333333297,-85.81383666666665,,2006,12,Night
Duluth,GA,unknown,33.99903628692001,-84.15485316455671,3.0,2006,12,Night
Cairo,GA,circle,30.835313043478248,-84.22103913043473,3600.0,2007,12,Day
McKinney,TX,light,33.19242476489042,-96.68101536050136,300.0,2007,12,Night
Lake Toxaway,NC,oval,35.1368,-82.9155,9.0,2007,12,Night
Palm Coast,FL,other,29.540925000000044,-81.20838511904773,10.0,2007,12,Night
Myrtle Beach,SC,egg,33.68314999999984,-78.9395390957444,25.0,2007,12,Night
Blue Ridge,GA,circle,34.78830000000001,-84.28270000000005,,2006,12,Night
Easley,SC,triangle,34.81419219858158,-82.57285602836882,18000.0,2005,12,Night
Charleston,WV,circle,38.3560958997721,-81.64009134396346,180.0,2005,12,Night
Merritt Island,FL,circle,28.370396710526368,-80.66729868421065,90.0,2006,12,Night
Huntersville,NC,rectangle,35.40346886792457,-80.86092735849063,600.0,2006,12,Night
Marietta,GA,circle,33.961887459016594,-84.510213196721,180.0,2006,12,Night
Mechanicsville,VA,triangle,37.64624405286344,-77.29160440528618,120.0,2006,12,Night
Louisa,KY,disk,38.11419999999999,-82.6032,300.0,2006,12,Day
Coppell,TX,fireball,32.95879999999996,-96.98120000000011,60.0,2006,12,Night
Satsuma,AL,oval,30.8571,-88.0589,120.0,2006,12,Day
Lancaster,KY,cigar,37.6857894736842,-84.5883842105263,,2006,12,Night
Lucedale,MS,triangle,30.88080000000001,-88.59220000000003,240.0,2006,12,Night
Memphis,TN,other,35.12547266265736,-89.9269248223065,,2006,12,Night
Tampa,FL,triangle,28.00681435810791,-82.47646101351302,720.0,2006,12,Night
Surfside Beach,SC,light,,,,2006,12,Day
Hemsted,TX,flash,,,,2006,12,Night
Highland Heights,KY,other,,,3000.0,2006,12,Night
Smithland,KY,cylinder,37.2806,-88.4739,150.0,2006,12,Day
Eldorado,AR,other,,,3600.0,2006,12,Night
Hampton City,VA,light,,,10.0,2006,12,Night
Pulaski,VA,other,37.06669999999999,-80.79170000000005,,2006,12,Night
Trinity,TX,circle,30.9692,-95.34859999999998,30.0,2006,12,Night
North Myrtle Beach,SC,light,33.83166000000003,-78.65013000000003,60.0,2006,12,Night
Blairsville,GA,light,34.856675000000024,-83.97030000000001,120.0,2006,12,Night
Southport,NC,light,33.997,-78.07290000000009,240.0,2006,12,Night
Wewahitchka,FL,fireball,29.9852,-85.19510000000001,60.0,2006,12,Night
Waycross,GA,fireball,31.20544727272725,-82.34733272727276,8.0,2006,12,Night
Jacksonville,FL,other,30.266904680970416,-81.61637283365769,7.5,2006,12,Night
Trumann,AR,chevron,35.57449999999998,-90.5215,30.0,2006,12,Night
Louisville,KY,disk,38.211214467651466,-85.68918456444241,180.0,2006,12,Day
Ennis,TX,light,32.32461351351353,-96.59038108108112,36000.0,2006,12,Night
Gentry,AR,triangle,36.2678,-94.4376,330.0,2006,12,Night
Boca Raton,FL,other,26.368061827957263,-80.13787724014395,7200.0,2004,12,Night
Alexandria,LA,cigar,31.272539664804462,-92.48309106145254,900.0,2005,12,Night
Murphy,NC,light,35.13969999999997,-84.09229999999992,30.0,2005,12,Night
Benton,MS,cylinder,32.8171,-90.2277,50.0,2007,12,Day
Lakeland,FL,unknown,28.04722715328456,-81.95884978102269,,2007,12,Day
Brownsville,TX,light,25.969362051282022,-97.44768564102569,210.0,2007,12,Night
Maumelle,AR,cigar,34.86750000000002,-92.40009999999992,600.0,2005,12,Night
Corpus Christi,TX,sphere,27.71750016181213,-97.40525129449864,9000.0,2007,12,Night
Charlotte,NC,light,35.205800840014845,-80.82639156166395,8.0,2005,12,Night
Wilmington,NC,triangle,34.238374952198605,-77.87846768642464,5.0,2008,12,Night
Fuquay,NC,triangle,,,120.0,2008,12,Night
Davie,FL,fireball,26.0629,-80.2331,120.0,2008,12,Night
Matagorda,TX,other,,,,2008,12,Night
Miami,FL,oval,25.77414271350745,-80.28951850011364,60.0,2009,12,Night
Heidelburg,MS,triangle,,,,2009,12,Night
Danville,VA,oval,36.62852387096777,-79.49231483870975,,2009,12,Night
Key West,FL,other,24.58480294117652,-81.68395882352922,15.0,2009,12,Night
Chatham,VA,oval,36.8385,-79.4334,,2009,12,Night
Conover,NC,light,35.742700000000006,-81.2093,180.0,2009,12,Night
Smiths Station,AL,diamond,,,300.0,2009,12,Night
Tupelp,MS,light,,,480.0,2009,12,Night
Loudon,TN,circle,35.71019999999999,-84.37429999999996,,2009,12,Day
Lonoke,AR,unknown,34.7885,-91.9277,,2009,12,Night
Pleasant Shade,TN,sphere,36.373,-85.9094,,2009,12,Night
Land OLakes,FL,light,,,,2009,12,Night
Aventura,FL,light,,,600.0,2009,12,Day
Fort Worth,TX,other,32.75736600322754,-97.34710441097356,300.0,2009,12,Night
Nacogdoches,TX,unknown,31.652585714285724,-94.5693780219781,4.0,2007,12,Day
Walnut Springs,TX,light,32.0703,-97.7588,,2009,12,Night
Richland Hills,TX,triangle,,,600.0,2009,12,Day
Leakey,TX,oval,29.8005,-99.7602,600.0,2009,12,Night
Ryland Heights,KY,other,,,,2009,12,Night
Partlow,VA,circle,38.075,-77.6663,900.0,2009,12,Night
Glen Allen,VA,unknown,37.68052397476333,-77.5361302839117,7.5,2009,12,Day
Delray Beach,FL,egg,26.45554743083016,-80.11589308300414,,2009,12,Night
El Dorado,AR,egg,33.1929,-92.64339999999996,9000.0,2009,12,Night
Vero Beach,FL,fireball,27.656004878048805,-80.4330238482385,300.0,2009,12,Night
Lexington,NC,light,35.79657604790423,-80.25426766467086,600.0,2009,12,Night
Burkeville,TX,other,31.0442,-93.6322,60.0,2009,12,Day
Baton Rouge,LA,light,30.42736711319548,-91.0869557267233,300.0,2009,12,Night
Fairfax,VA,other,38.84920832049281,-77.31409306625612,300.0,2009,12,Night
Seabrook,TX,unknown,29.58129999999996,-95.02729999999988,5.0,2009,12,Night
Cleburne,TX,triangle,32.34987083333336,-97.37565833333336,270.0,2009,12,Night
Mico,TX,formation,29.5441,-98.92310000000002,,2009,12,Night
Pembroke Pines,FL,light,26.0032,-80.2239,60.0,2009,12,Night
Cherry Grove,SC,triangle,,,210.0,2009,12,Night
Statesboro,GA,disk,32.39869629629626,-81.81958814814824,300.0,2009,12,Night
Rock Hill,SC,chevron,34.945105329153655,-81.05418338557972,3600.0,2009,12,Night
Columbia,SC,light,34.02910563770805,-80.99284038816866,5.0,2009,12,Night
Valdosta,GA,unknown,30.85822314814813,-83.30521064814809,2.0,2009,12,Night
Durham,NC,fireball,35.98046262866154,-78.89813626286602,5.0,2009,12,Night
Celebration,FL,triangle,,,30.0,2009,12,Night
Gulf of Mexico,TX,other,,,420.0,2009,12,Day
Mexia,TX,egg,31.6626,-96.49350000000004,4.0,2009,12,Night
Spring Hill,TN,disk,35.7174,-86.89260000000007,330.0,2009,12,Day
Mandeville,LA,light,30.39100748299316,-90.03365442176879,60.0,2009,12,Night
Mandeville,LA,disk,30.39100748299316,-90.03365442176879,2700.0,2009,12,Night
Tomball,TX,circle,30.0839000000001,-95.63833333333308,120.0,2009,12,Night
Lake Worth,FL,circle,26.60020571428564,-80.12513920634922,,2009,12,Night
Livingston,LA,unknown,30.402699999999992,-90.731,,2009,12,Night
