city,state,shape,city_latitude,city_longitude,duration_sec,year,month,day
Malibu,CA,triangle,34.06816860465117,-118.81639883720908,60.0,2004,12,Day
Welton,AZ,formation,,,2100.0,2005,12,Night
Phelan,CA,other,34.42714999999999,-117.51310625000002,60.0,2017,12,Night
North Pole,AK,fireball,64.77829999999996,-147.33710000000005,180.0,2014,12,Night
Salem,OR,fireball,44.941247110675775,-123.00423516160726,120.0,2018,12,Night
Anchorage,AK,unknown,61.18196014109344,-149.84252680775904,,2016,12,Night
Denver,CO,light,39.7451263722071,-104.95934593826648,,2019,12,Night
Bakersfield,CA,sphere,35.34399793103438,-119.04089261083674,,2019,12,Night
Laveen,AZ,disk,33.305400000000006,-112.19970000000008,,2019,12,Night
North Las Vegas,NV,sphere,36.243659299191314,-115.1449630727764,600.0,2019,12,Day
Mesa,AZ,unknown,33.421264542936065,-111.772797322253,1200.0,2019,12,Night
Jerome,ID,light,42.75950000000002,-114.36499999999992,,2019,12,Night
Fort Collins,CO,unknown,40.55069822812865,-105.07729501661044,,2019,12,Night
Del Mar,CA,unknown,32.96720000000002,-117.25860000000009,120.0,2019,12,Night
Santa Monica Beach,CA,light,,,10.0,2019,12,Day
"Flat Top Mountain, Cedar Valley",UT,light,,,5.0,2019,12,Night
Phoenix,AZ,light,33.5353805506076,-112.04946000000058,,2019,12,Night
Fresno,CA,other,36.788250933332975,-119.7894705333327,,2019,12,Night
Helena,MT,other,46.59667368421066,-112.08131345029244,1200.0,2019,12,Day
Albuquerque,NM,light,35.10348122192229,-106.61247515723308,,2019,12,Night
Valle,AZ,formation,,,150.0,2019,12,Night
Roosevelt lake,AZ,light,,,600.0,2019,12,Night
Valex,NM,unknown,,,270.0,2019,12,Night
Picacho Peak,AZ,circle,,,1800.0,2019,12,Night
Rohnert Park,CA,light,38.34323901098919,-122.70405054945056,150.0,2019,12,Night
Deming,NM,other,32.22860909090909,-107.76305454545457,3600.0,2019,12,Day
Reno,NV,formation,39.50650741150434,-119.81745110619536,300.0,2019,12,Night
Santa Cruz,CA,sphere,37.01125664621656,-122.04450858895682,300.0,2019,12,Night
Hayward,CA,light,37.650290136986335,-122.07600547945236,,2019,12,Night
Salinas,CA,light,36.68852457627128,-121.62845480225972,,2019,12,Night
Castro Valley,CA,formation,37.70575632911387,-122.06971265822811,,2019,12,Night
Anaheim Hills,CA,circle,,,,2019,12,Night
San Francisco,CA,disk,37.76999211048635,-122.42539404565326,300.0,2006,12,Night
San Lucas,CA,sphere,,,15.0,2007,12,Night
Phoenix,AZ,light,33.5353805506076,-112.04946000000058,1200.0,2007,12,Night
Santa Rosa,CA,other,38.45256501240727,-122.717900124069,,2007,12,Night
Los Angeles,ID,changing,,,30.0,2006,12,Day
Avila Beach,CA,diamond,35.18,-120.7318,420.0,2006,12,Night
Sausalito,CA,disk,37.85145303030304,-122.5220984848484,20.0,2004,12,Day
Stateline,NV,unknown,38.9624,-119.93989999999998,,2007,12,Night
Kailua,HI,changing,21.40239999999996,-157.7404999999999,,2007,12,Day
Pico Rivera,CA,disk,33.986399999999875,-118.08840000000018,15.0,2007,12,Day
Wasilla,AK,triangle,61.53757924528298,-149.5421037735848,150.0,2005,12,Night
Murrieta,CA,cigar,33.558664370546595,-117.25136935866897,3.5,2007,12,Night
